id,user_id,order_updates,promo_emails,security_alerts,wishlist_alerts,updated_at
cmos92n7e0004h22gyn73oezh,cmos92dgi0000h22gli65jmaq,t,f,t,t,2026-05-05 06:31:19.028
cmosz0tvy000ph2785wiyyfhc,cmos9al1p000gh22g6p6ahfxj,t,f,t,t,2026-05-05 18:37:44.398
cmosz5tw5005hh278rfgukvcw,cmosz5bg00059h2780xm2gaaa,t,f,t,t,2026-05-05 18:41:37.685
cmowyekkg0004h2sgrx0y06em,cmowyd0wn0000h2sg5so2qm74,t,f,t,t,2026-05-08 13:31:30.581
cmp1ko3yo001uh20sd5ds5lpk,cmp1knebq001ih20sjqrvvums,t,f,t,t,2026-05-11 19:05:51.887
